,Facility Name,City,State,HCAHPS Answer Description,County Name,HCAHPS Answer Percent,Number of Completed Surveys,StateDesc,CityName,PopulationCount,Data_Value,CityFIPS
37,BANNER ESTRELLA MEDICAL CENTER,phoenix,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",MARICOPA,20,634,AZ,phoenix,1445632.0,14.457865168539332,455000.0
38,BANNER ESTRELLA MEDICAL CENTER,phoenix,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",MARICOPA,71,634,AZ,phoenix,1445632.0,14.457865168539332,455000.0
39,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",phoenix,AZ,"Patients who gave a rating of ""6"" or lower (low)",MARICOPA,5,1033,AZ,phoenix,1445632.0,14.457865168539332,455000.0
40,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",phoenix,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",MARICOPA,17,1033,AZ,phoenix,1445632.0,14.457865168539332,455000.0
41,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",phoenix,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",MARICOPA,78,1033,AZ,phoenix,1445632.0,14.457865168539332,455000.0
42,HONORHEALTH DEER VALLEY MEDICAL CENTER,phoenix,AZ,"Patients who gave a rating of ""6"" or lower (low)",MARICOPA,9,1815,AZ,phoenix,1445632.0,14.457865168539332,455000.0
43,HONORHEALTH DEER VALLEY MEDICAL CENTER,phoenix,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",MARICOPA,23,1815,AZ,phoenix,1445632.0,14.457865168539332,455000.0
44,HONORHEALTH DEER VALLEY MEDICAL CENTER,phoenix,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",MARICOPA,68,1815,AZ,phoenix,1445632.0,14.457865168539332,455000.0
45,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,phoenix,AZ,"Patients who gave a rating of ""6"" or lower (low)",MARICOPA,7,1434,AZ,phoenix,1445632.0,14.457865168539332,455000.0
46,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,phoenix,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",MARICOPA,20,1434,AZ,phoenix,1445632.0,14.457865168539332,455000.0
47,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,phoenix,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",MARICOPA,73,1434,AZ,phoenix,1445632.0,14.457865168539332,455000.0
48,MAYO CLINIC HOSPITAL,phoenix,AZ,"Patients who gave a rating of ""6"" or lower (low)",MARICOPA,2,533,AZ,phoenix,1445632.0,14.457865168539332,455000.0
49,MAYO CLINIC HOSPITAL,phoenix,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",MARICOPA,6,533,AZ,phoenix,1445632.0,14.457865168539332,455000.0
50,MAYO CLINIC HOSPITAL,phoenix,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",MARICOPA,92,533,AZ,phoenix,1445632.0,14.457865168539332,455000.0
51,O.A.S.I.S. HOSPITAL,phoenix,AZ,"Patients who gave a rating of ""6"" or lower (low)",MARICOPA,4,418,AZ,phoenix,1445632.0,14.457865168539332,455000.0
52,O.A.S.I.S. HOSPITAL,phoenix,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",MARICOPA,9,418,AZ,phoenix,1445632.0,14.457865168539332,455000.0
53,O.A.S.I.S. HOSPITAL,phoenix,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",MARICOPA,87,418,AZ,phoenix,1445632.0,14.457865168539332,455000.0
54,PHOENIX CHILDREN'S HOSPITAL,phoenix,AZ,"Patients who gave a rating of ""6"" or lower (low)",MARICOPA,0,0,AZ,phoenix,1445632.0,14.457865168539332,455000.0
55,PHOENIX CHILDREN'S HOSPITAL,phoenix,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",MARICOPA,0,0,AZ,phoenix,1445632.0,14.457865168539332,455000.0
56,PHOENIX CHILDREN'S HOSPITAL,phoenix,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",MARICOPA,0,0,AZ,phoenix,1445632.0,14.457865168539332,455000.0
57,PHOENIX INDIAN MEDICAL CENTER,phoenix,AZ,"Patients who gave a rating of ""6"" or lower (low)",MARICOPA,7,223,AZ,phoenix,1445632.0,14.457865168539332,455000.0
58,PHOENIX INDIAN MEDICAL CENTER,phoenix,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",MARICOPA,23,223,AZ,phoenix,1445632.0,14.457865168539332,455000.0
59,PHOENIX INDIAN MEDICAL CENTER,phoenix,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",MARICOPA,70,223,AZ,phoenix,1445632.0,14.457865168539332,455000.0
60,PHOENIX VA MEDICAL CENTER,phoenix,AZ,"Patients who gave a rating of ""6"" or lower (low)",MARICOPA,8,392,AZ,phoenix,1445632.0,14.457865168539332,455000.0
61,PHOENIX VA MEDICAL CENTER,phoenix,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",MARICOPA,27,392,AZ,phoenix,1445632.0,14.457865168539332,455000.0
62,PHOENIX VA MEDICAL CENTER,phoenix,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",MARICOPA,65,392,AZ,phoenix,1445632.0,14.457865168539332,455000.0
63,ST LUKE'S MEDICAL CENTER,phoenix,AZ,"Patients who gave a rating of ""6"" or lower (low)",MARICOPA,18,640,AZ,phoenix,1445632.0,14.457865168539332,455000.0
64,ST LUKE'S MEDICAL CENTER,phoenix,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",MARICOPA,25,640,AZ,phoenix,1445632.0,14.457865168539332,455000.0
65,ST LUKE'S MEDICAL CENTER,phoenix,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",MARICOPA,57,640,AZ,phoenix,1445632.0,14.457865168539332,455000.0
66,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,phoenix,AZ,"Patients who gave a rating of ""6"" or lower (low)",MARICOPA,8,3656,AZ,phoenix,1445632.0,14.457865168539332,455000.0
67,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,phoenix,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",MARICOPA,18,3656,AZ,phoenix,1445632.0,14.457865168539332,455000.0
68,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,phoenix,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",MARICOPA,74,3656,AZ,phoenix,1445632.0,14.457865168539332,455000.0
69,VALLEYWISE HEALTH MEDICAL CENTER,phoenix,AZ,"Patients who gave a rating of ""6"" or lower (low)",MARICOPA,12,431,AZ,phoenix,1445632.0,14.457865168539332,455000.0
70,VALLEYWISE HEALTH MEDICAL CENTER,phoenix,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",MARICOPA,29,431,AZ,phoenix,1445632.0,14.457865168539332,455000.0
71,VALLEYWISE HEALTH MEDICAL CENTER,phoenix,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",MARICOPA,59,431,AZ,phoenix,1445632.0,14.457865168539332,455000.0
72,"AD HOSPITAL EAST, LLC",houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,17,69,TX,houston,2099451.0,13.807065217391303,4835000.0
73,"AD HOSPITAL EAST, LLC",houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,20,69,TX,houston,2099451.0,13.807065217391303,4835000.0
74,"AD HOSPITAL EAST, LLC",houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,63,69,TX,houston,2099451.0,13.807065217391303,4835000.0
75,CHI ST LUKE'S HEALTH BAYLOR COLLEGE OF MEDICINE ME,houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,9,1120,TX,houston,2099451.0,13.807065217391303,4835000.0
76,CHI ST LUKE'S HEALTH BAYLOR COLLEGE OF MEDICINE ME,houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,21,1120,TX,houston,2099451.0,13.807065217391303,4835000.0
77,CHI ST LUKE'S HEALTH BAYLOR COLLEGE OF MEDICINE ME,houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,70,1120,TX,houston,2099451.0,13.807065217391303,4835000.0
78,DOCTORS HOSPITAL TIDWELL,houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,14,123,TX,houston,2099451.0,13.807065217391303,4835000.0
79,DOCTORS HOSPITAL TIDWELL,houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,24,123,TX,houston,2099451.0,13.807065217391303,4835000.0
80,DOCTORS HOSPITAL TIDWELL,houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,62,123,TX,houston,2099451.0,13.807065217391303,4835000.0
81,FIRST TEXAS HOSPITAL,houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,8,31,TX,houston,2099451.0,13.807065217391303,4835000.0
82,FIRST TEXAS HOSPITAL,houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,10,31,TX,houston,2099451.0,13.807065217391303,4835000.0
83,FIRST TEXAS HOSPITAL,houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,82,31,TX,houston,2099451.0,13.807065217391303,4835000.0
84,HARRIS HEALTH SYSTEM,houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,7,716,TX,houston,2099451.0,13.807065217391303,4835000.0
85,HARRIS HEALTH SYSTEM,houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,18,716,TX,houston,2099451.0,13.807065217391303,4835000.0
86,HARRIS HEALTH SYSTEM,houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,75,716,TX,houston,2099451.0,13.807065217391303,4835000.0
87,HCA HOUSTON HEALTHCARE NORTHWEST,houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,10,1167,TX,houston,2099451.0,13.807065217391303,4835000.0
88,HCA HOUSTON HEALTHCARE NORTHWEST,houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,22,1167,TX,houston,2099451.0,13.807065217391303,4835000.0
89,HCA HOUSTON HEALTHCARE NORTHWEST,houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,68,1167,TX,houston,2099451.0,13.807065217391303,4835000.0
90,HCA HOUSTON HEALTHCARE WEST,houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,12,891,TX,houston,2099451.0,13.807065217391303,4835000.0
91,HCA HOUSTON HEALTHCARE WEST,houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,22,891,TX,houston,2099451.0,13.807065217391303,4835000.0
92,HCA HOUSTON HEALTHCARE WEST,houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,66,891,TX,houston,2099451.0,13.807065217391303,4835000.0
93,HEALTHBRIDGE CHILDRENS'S HOSPITAL OF HOUSTON,houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,0,0,TX,houston,2099451.0,13.807065217391303,4835000.0
94,HEALTHBRIDGE CHILDRENS'S HOSPITAL OF HOUSTON,houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,0,0,TX,houston,2099451.0,13.807065217391303,4835000.0
95,HEALTHBRIDGE CHILDRENS'S HOSPITAL OF HOUSTON,houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,0,0,TX,houston,2099451.0,13.807065217391303,4835000.0
96,HOUSTON METHODIST HOSPITAL,houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,6,6561,TX,houston,2099451.0,13.807065217391303,4835000.0
97,HOUSTON METHODIST HOSPITAL,houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,13,6561,TX,houston,2099451.0,13.807065217391303,4835000.0
98,HOUSTON METHODIST HOSPITAL,houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,81,6561,TX,houston,2099451.0,13.807065217391303,4835000.0
99,HOUSTON METHODIST WEST HOSPITAL,houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,5,1723,TX,houston,2099451.0,13.807065217391303,4835000.0
100,HOUSTON METHODIST WEST HOSPITAL,houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,14,1723,TX,houston,2099451.0,13.807065217391303,4835000.0
101,HOUSTON METHODIST WEST HOSPITAL,houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,81,1723,TX,houston,2099451.0,13.807065217391303,4835000.0
102,HOUSTON METHODIST WILLOWBROOK HOSPITAL,houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,6,2366,TX,houston,2099451.0,13.807065217391303,4835000.0
103,HOUSTON METHODIST WILLOWBROOK HOSPITAL,houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,16,2366,TX,houston,2099451.0,13.807065217391303,4835000.0
104,HOUSTON METHODIST WILLOWBROOK HOSPITAL,houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,78,2366,TX,houston,2099451.0,13.807065217391303,4835000.0
105,HOUSTON VA MEDICAL CENTER,houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,11,440,TX,houston,2099451.0,13.807065217391303,4835000.0
106,HOUSTON VA MEDICAL CENTER,houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,21,440,TX,houston,2099451.0,13.807065217391303,4835000.0
107,HOUSTON VA MEDICAL CENTER,houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,68,440,TX,houston,2099451.0,13.807065217391303,4835000.0
108,MEMORIAL HERMANN - TEXAS MEDICAL CENTER,houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,7,736,TX,houston,2099451.0,13.807065217391303,4835000.0
109,MEMORIAL HERMANN - TEXAS MEDICAL CENTER,houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,16,736,TX,houston,2099451.0,13.807065217391303,4835000.0
110,MEMORIAL HERMANN - TEXAS MEDICAL CENTER,houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,77,736,TX,houston,2099451.0,13.807065217391303,4835000.0
111,MEMORIAL HERMANN HOSPITAL SYSTEM,houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,7,1164,TX,houston,2099451.0,13.807065217391303,4835000.0
112,MEMORIAL HERMANN HOSPITAL SYSTEM,houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,20,1164,TX,houston,2099451.0,13.807065217391303,4835000.0
113,MEMORIAL HERMANN HOSPITAL SYSTEM,houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,73,1164,TX,houston,2099451.0,13.807065217391303,4835000.0
114,MEMORIAL HERMANN MEMORIAL CITY HOSPITAL,houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,6,593,TX,houston,2099451.0,13.807065217391303,4835000.0
115,MEMORIAL HERMANN MEMORIAL CITY HOSPITAL,houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,17,593,TX,houston,2099451.0,13.807065217391303,4835000.0
116,MEMORIAL HERMANN MEMORIAL CITY HOSPITAL,houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,77,593,TX,houston,2099451.0,13.807065217391303,4835000.0
117,PARK PLAZA HOSPITAL,houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,9,363,TX,houston,2099451.0,13.807065217391303,4835000.0
118,PARK PLAZA HOSPITAL,houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,19,363,TX,houston,2099451.0,13.807065217391303,4835000.0
119,PARK PLAZA HOSPITAL,houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,72,363,TX,houston,2099451.0,13.807065217391303,4835000.0
120,SHRINERS HOSPITALS FOR CHILDREN,houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,0,0,TX,houston,2099451.0,13.807065217391303,4835000.0
121,SHRINERS HOSPITALS FOR CHILDREN,houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,0,0,TX,houston,2099451.0,13.807065217391303,4835000.0
122,SHRINERS HOSPITALS FOR CHILDREN,houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,0,0,TX,houston,2099451.0,13.807065217391303,4835000.0
123,ST JOSEPH MEDICAL CENTER,houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,15,572,TX,houston,2099451.0,13.807065217391303,4835000.0
124,ST JOSEPH MEDICAL CENTER,houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,24,572,TX,houston,2099451.0,13.807065217391303,4835000.0
125,ST JOSEPH MEDICAL CENTER,houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,61,572,TX,houston,2099451.0,13.807065217391303,4835000.0
126,ST LUKE'S HOSPITAL AT THE VINTAGE,houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,8,309,TX,houston,2099451.0,13.807065217391303,4835000.0
127,ST LUKE'S HOSPITAL AT THE VINTAGE,houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,21,309,TX,houston,2099451.0,13.807065217391303,4835000.0
128,ST LUKE'S HOSPITAL AT THE VINTAGE,houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,71,309,TX,houston,2099451.0,13.807065217391303,4835000.0
129,TEXAS CHILDRENS HOSP,houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,0,0,TX,houston,2099451.0,13.807065217391303,4835000.0
130,TEXAS CHILDRENS HOSP,houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,0,0,TX,houston,2099451.0,13.807065217391303,4835000.0
131,TEXAS CHILDRENS HOSP,houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,0,0,TX,houston,2099451.0,13.807065217391303,4835000.0
132,TEXAS ORTHOPEDIC HOSPITAL,houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,4,771,TX,houston,2099451.0,13.807065217391303,4835000.0
133,TEXAS ORTHOPEDIC HOSPITAL,houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,8,771,TX,houston,2099451.0,13.807065217391303,4835000.0
134,TEXAS ORTHOPEDIC HOSPITAL,houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,88,771,TX,houston,2099451.0,13.807065217391303,4835000.0
135,THE HEIGHTS HOSPITAL,houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,0,0,TX,houston,2099451.0,13.807065217391303,4835000.0
136,THE HEIGHTS HOSPITAL,houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,0,0,TX,houston,2099451.0,13.807065217391303,4835000.0
137,THE HEIGHTS HOSPITAL,houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,0,0,TX,houston,2099451.0,13.807065217391303,4835000.0
138,TOPS SURGICAL SPECIALTY HOSPITAL,houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,4,232,TX,houston,2099451.0,13.807065217391303,4835000.0
139,TOPS SURGICAL SPECIALTY HOSPITAL,houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,7,232,TX,houston,2099451.0,13.807065217391303,4835000.0
140,TOPS SURGICAL SPECIALTY HOSPITAL,houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,89,232,TX,houston,2099451.0,13.807065217391303,4835000.0
141,"WOMANS HOSPITAL OF TEXAS,THE",houston,TX,"Patients who gave a rating of ""6"" or lower (low)",HARRIS,8,924,TX,houston,2099451.0,13.807065217391303,4835000.0
142,"WOMANS HOSPITAL OF TEXAS,THE",houston,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",HARRIS,19,924,TX,houston,2099451.0,13.807065217391303,4835000.0
143,"WOMANS HOSPITAL OF TEXAS,THE",houston,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",HARRIS,73,924,TX,houston,2099451.0,13.807065217391303,4835000.0
